name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,parfumo_url,parfumo_name,parfumo_brand,parfumo_rating,parfumo_rating_count,parfumo_notes,fragrantica_id,image_url,match_source,_processed
Eladaria Creed,elada-creed,2000000004365,Parfum,Labor sklad,160,2420,16000,Creed,,Милллилитр,,,,,,,,,,
Narcotic Delight Initio Parfums Prives,narcotic-initio,2000000004358,Parfum,Labor sklad,133,2420,16000,INITIO,,Милллилитр,,,,,,,,,,
Kurky Maison Francis Kurkdjian,kurky-kurkd,2000000004341,Parfum,Labor sklad,140,2420,16000,Maison Francis Kurkdjian,,Милллилитр,,,,,,,,,,
Valaya Parfums de Marly,valaya-marly,2000000004334,Parfum,Labor sklad,350,2420,16000,Parfums de Marly,,Милллилитр,,,,,,,,,,
Terre d’Hermès Intense,terre-intense,2000000004327,Parfum,Labor sklad,260,2420,16000,Hermès,,Милллилитр,,,,,,,,,,
Fragaria Creed,frag-creed,2000000004310,Parfum,Labor sklad,680,2420,16000,Creed,,Милллилитр,,,,,,,,,,
Miss Dior Blooming Bouquet Dior,bloomin-miss,2000000004303,Parfum,Labor sklad,434,2420,16000,Dior,,Милллилитр,,,,,,,,,,
Marijuana Byredo,mari_byredo,2000000004297,Parfum,Labor sklad,546,2420,16000,Byredo,,Милллилитр,,,,,,,,,,
Kalso-Флакон калцо 10 мл,10-kalso,2000000004280,flakon,okiii_flakon,65,10890,20000,okiii,,Штука,,,,,,,,,,
Kalso-Флакон калцо 20 мл,20-kalso,2000000004273,flakon,okiii_flakon,56,16940,20000,okiii,,Штука,,,,,,,,,,
Aldebaran Marc-Antoine Barrois,aldebaran_mab,2000000004266,Parfum,Labor sklad,618,2420,16000,Marc-Antoine Barrois,,Милллилитр,,,,,,,,,,
eLVes Louis Vuitton,elves_lv,2000000004259,Parfum,Labor sklad,545,2420,16000,Louis Vuitton,,Милллилитр,,,,,,,,,,
Chance Eau Splendide Chanel,splendide_chanel,2000000004242,Parfum,Labor sklad,169,2420,16000,Chanel,,Милллилитр,,,,,,,,,,
LUNARIO Casa Tito,lun-casa,6294513478256,Parfum,Labor sklad,7,726000,1950000,Casa Tito,,Штука,,,,,,,,,,
VANORIA Casa Tito,van-casa,6294510774429,Parfum,Labor sklad,8,726000,1950000,Casa Tito,,Штука,,,,,,,,,,
MUSCAVILLA Casa Tito,musca-casa,6294510778755,Parfum,Labor sklad,6,726000,1950000,Casa Tito,,Штука,,,,,,,,,,
Гель для душа парфюмированный Symphony 300 гр,geldlyadusha-symphony,4780071941889,Гель для душа,"Labor sklad, Uniderm",6,75020,120000,labor,,Штука,,,,,,,,,,
Musk Therapy Initio Parfums Prives,musktherapy-initio,2000000004235,Parfum,Labor sklad,194,2420,16000,INITIO,,Милллилитр,,,,,,,,,,
Rehab Initio Parfums Prives,rehab-initio,2000000004228,Parfum,Labor sklad,213,2420,16000,INITIO,,Милллилитр,,,,,,,,,,
Гель для душа парфюмированный Good Girl Gone Bad 300 гр,geldlyadusha_goodgirl,4780071942299,Гель для душа,Uniderm,1,75020,120000,labor,,Штука,,,,,,,,,,
