name,sku,barcode,category,supplier,qty,cost,price,brand,volume_ml,unit,fragrantica_id,_processed
Antiseptik Sofderm Fleur 100 ml,fleur100,4780071940233,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,1
Antiseptik Sofderm Crystal 100 ml,crystal100,4780071940226,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,1
Antiseptik Sofderm Citiboy 100 ml,citiboy100,4780071940219,Antiseptik,Uniderm,0,12826,20000,Sofderm,,Штука,,1
Antiseptik Sofderm Extra 50 ml,антисептик50,4780071940530,Antiseptik,Uniderm,15,8349,15000,Sofderm,,Штука,,1
Love Don't Be Shy By Kilian,beshy-kilian,2000000004426,Parfum,Labor sklad,610,2420,16000,Kilian,,Милллилитр,,1
Mefisto Gentiluomo Xerjoff,gentiluomo-xerjoff,2000000004419,Parfum,Labor sklad,244,2420,16000,Casa Tito,,Милллилитр,,1
Bergamask Orto Parisi,bergamask-orto,2000000004402,Parfum,Labor sklad,375,2420,16000,Orto Parisi,,Милллилитр,,1
The Muse ZARKOPERFUME,themuse-zarko,2000000004396,Parfum,Labor sklad,117,2420,16000,Zarkoperfume,,Милллилитр,,1
Paragon Initio Parfums Prives,paragon-initio,2000000004389,Parfum,Labor sklad,150,2420,16000,INITIO,,Милллилитр,,1
Lamar Kajal,lamar-kajal,2000000004372,Parfum,Labor sklad,265,2420,16000,Kajal,,Милллилитр,,1
Eladaria Creed,elada-creed,2000000004365,Parfum,Labor sklad,160,2420,16000,Creed,,Милллилитр,,1
Narcotic Delight Initio Parfums Prives,narcotic-initio,2000000004358,Parfum,Labor sklad,133,2420,16000,INITIO,,Милллилитр,,1
Kurky Maison Francis Kurkdjian,kurky-kurkd,2000000004341,Parfum,Labor sklad,140,2420,16000,Maison Francis Kurkdjian,,Милллилитр,,1
Valaya Parfums de Marly,valaya-marly,2000000004334,Parfum,Labor sklad,350,2420,16000,Parfums de Marly,,Милллилитр,,1
Terre d’Hermès Intense,terre-intense,2000000004327,Parfum,Labor sklad,260,2420,16000,Hermès,,Милллилитр,,1
Fragaria Creed,frag-creed,2000000004310,Parfum,Labor sklad,680,2420,16000,Creed,,Милллилитр,,1
Miss Dior Blooming Bouquet Dior,bloomin-miss,2000000004303,Parfum,Labor sklad,434,2420,16000,Dior,,Милллилитр,,1
Marijuana Byredo,mari_byredo,2000000004297,Parfum,Labor sklad,546,2420,16000,Byredo,,Милллилитр,,1
Kalso-Флакон калцо 10 мл,10-kalso,2000000004280,flakon,okiii_flakon,65,10890,20000,okiii,,Штука,,1
Kalso-Флакон калцо 20 мл,20-kalso,2000000004273,flakon,okiii_flakon,56,16940,20000,okiii,,Штука,,1
Aldebaran Marc-Antoine Barrois,aldebaran_mab,2000000004266,Parfum,Labor sklad,618,2420,16000,Marc-Antoine Barrois,,Милллилитр,,1
eLVes Louis Vuitton,elves_lv,2000000004259,Parfum,Labor sklad,545,2420,16000,Louis Vuitton,,Милллилитр,,1
Chance Eau Splendide Chanel,splendide_chanel,2000000004242,Parfum,Labor sklad,169,2420,16000,Chanel,,Милллилитр,,1
LUNARIO Casa Tito,lun-casa,6294513478256,Parfum,Labor sklad,7,726000,1950000,Casa Tito,,Штука,,1
VANORIA Casa Tito,van-casa,6294510774429,Parfum,Labor sklad,8,726000,1950000,Casa Tito,,Штука,,1
MUSCAVILLA Casa Tito,musca-casa,6294510778755,Parfum,Labor sklad,6,726000,1950000,Casa Tito,,Штука,,1
Гель для душа парфюмированный Symphony 300 гр,geldlyadusha-symphony,4780071941889,Гель для душа,"Labor sklad, Uniderm",6,75020,120000,labor,,Штука,,1
Musk Therapy Initio Parfums Prives,musktherapy-initio,2000000004235,Parfum,Labor sklad,194,2420,16000,INITIO,,Милллилитр,,1
Rehab Initio Parfums Prives,rehab-initio,2000000004228,Parfum,Labor sklad,213,2420,16000,INITIO,,Милллилитр,,1
Гель для душа парфюмированный Good Girl Gone Bad 300 гр,geldlyadusha_goodgirl,4780071942299,Гель для душа,Uniderm,1,75020,120000,labor,,Штука,,1
Гель для душа парфюмированный Molecula 020 300 гр,geldlyadusha_molecula020,4780071942251,Гель для душа,Uniderm,3,75020,120000,labor,,Штука,,1
Гель для душа парфюмированный Flora 300 гр,geldlyadusha_flora,4780071942275,Гель для душа,Uniderm,8,75020,120000,labor,,Штука,,1
Гель для душа парфюмированный My Way 300 gr,geldlyadusha_myway,4780071942282,Гель для душа,Uniderm,6,75020,120000,labor,,Штука,,1
Casa Tito ECSTASY Collection,ekstaz-nabor,6290012343583,Parfum,Labor sklad,8,423500,1170000,Casa Tito,,Штука,,1
Casa Tito EUPHORIA Collection,eyforia-nabor,6290012343583,Parfum,Labor sklad,7,423500,1117000,Casa Tito,,Штука,,1
